2024:04:19 03:03:28,9103482,-109.906249984, dB
2024:04:19 03:05:14,9041754,-109.906249984, dB
2024:04:19 03:05:36,9002574,-111.406249984, dB
2024:04:19 03:05:38,9004290,-111.406249984, dB
2024:04:19 03:05:40,9004290,-111.406249984, dB
2024:04:19 03:05:41,9018589,-111.406249984, dB
2024:04:19 03:05:43,9036892,-109.906249984, dB
2024:04:19 03:05:46,9055481,-109.906249984, dB
2024:04:19 03:05:49,9004004,-111.406249984, dB
2024:04:19 03:05:51,9002860,-111.406249984, dB
2024:04:19 03:05:54,9004290,-111.406249984, dB
